Employee_ID,Age,Experience_Years,Department,Education_Level,Training_Hours,Salary,Performance_Rating
1141,48,24,Finance,PhD,59,135407,Medium
1142,34,12,Finance,Bachelors,80,102929,Low
1143,24,2,HR,PhD,67,55633,Low
1144,27,4,HR,Bachelors,43,57920,Medium
1145,29,9,Finance,Bachelors,29,93459,Low
1146,48,24,Finance,Bachelors,59,142609,Low
1147,30,7,Finance,Masters,97,78638,Medium
1148,58,37,HR,PhD,19,159618,High
1149,54,33,Finance,Masters,41,175937,Medium
1150,45,23,Finance,Bachelors,61,136209,Medium
1151,36,14,Marketing,Masters,24,91635,Low
1152,53,32,IT,Bachelors,93,171327,High
1153,53,31,Sales,Masters,12,154601,Medium
1154,45,21,IT,Bachelors,46,133396,Medium
1155,33,11,Marketing,Bachelors,49,86919,Low
1156,23,3,Sales,Bachelors,81,60440,Low
1157,24,2,Finance,Masters,49,59231,Low
1158,58,35,Marketing,Bachelors,65,164554,High
1159,38,14,Finance,Masters,32,109750,Low
1160,23,0,HR,Bachelors,20,53697,Low
1161,23,0,Marketing,Masters,73,53928,Low
1162,49,29,HR,Masters,17,139657,Medium
1163,44,20,Marketing,Masters,65,114019,Medium
1164,58,34,Marketing,Bachelors,69,155601,High
1165,53,29,HR,Bachelors,19,133464,High
1166,54,30,Sales,Bachelors,48,148929,High
1167,22,0,IT,Masters,37,60738,Low
1168,40,20,Finance,Bachelors,58,127771,Medium
1169,23,1,Marketing,Bachelors,45,59707,Low
1170,47,24,Finance,Bachelors,22,137494,Medium
1171,53,29,HR,Bachelors,45,137867,High
1172,27,5,Finance,Masters,35,70392,Low
1173,53,31,HR,Bachelors,95,147121,High
1174,25,2,Finance,Masters,13,60419,Low
1175,32,12,IT,Bachelors,91,108124,Medium
1176,38,17,IT,Bachelors,73,115971,Medium
1177,59,38,IT,Bachelors,47,201231,High
1178,45,23,IT,Bachelors,97,147505,Medium
1179,26,3,IT,Bachelors,96,66339,Low
1180,55,34,IT,Masters,31,185616,High
1181,27,5,HR,Bachelors,11,67345,Low
1182,43,23,Marketing,Masters,40,124305,High
1183,32,11,Finance,Bachelors,20,90756,Low
1184,37,15,IT,Bachelors,55,110806,Low
1185,54,32,HR,Masters,71,149947,High
1186,30,6,HR,Bachelors,78,68930,Low
1187,27,7,HR,Bachelors,73,71402,Medium
1188,37,13,Marketing,Bachelors,19,94146,Low
1189,50,27,Finance,Bachelors,49,150966,Medium
1190,24,0,Marketing,Masters,33,47782,Low
1191,41,17,Sales,Bachelors,53,107179,Medium
1192,57,36,HR,Masters,69,161750,High
1193,40,18,Sales,Masters,71,116989,Medium
1194,47,27,IT,Bachelors,96,156619,High
1195,24,0,IT,PhD,26,58346,Low
1196,40,20,Marketing,Bachelors,74,114868,Medium
1197,41,17,Finance,PhD,66,116192,Medium
1198,53,30,Sales,Bachelors,64,157422,High
1199,28,4,Finance,Masters,62,69822,Medium
1200,54,33,Marketing,Bachelors,65,159428,High
1201,39,17,IT,Bachelors,18,116761,Low
1202,22,0,Finance,Masters,31,60225,Low
1203,32,8,Finance,Masters,22,85312,Low
1204,49,29,IT,Bachelors,98,160986,Medium
1205,46,23,Sales,Bachelors,57,132452,High
1206,44,21,IT,Masters,27,137238,Low
1207,52,28,Finance,Masters,85,149145,High
1208,51,28,Sales,PhD,49,143525,Medium
1209,56,36,Sales,Masters,26,175335,Medium
1210,28,5,IT,PhD,24,82137,Low
1211,37,17,Finance,Masters,24,110907,Low
1212,47,23,Marketing,Bachelors,88,122478,Medium
1213,23,1,Finance,Bachelors,72,61190,Low
1214,22,0,HR,Masters,48,51533,Low
1215,33,11,Marketing,Masters,22,86810,Low
1216,26,6,Sales,Bachelors,90,77232,Low
1217,58,35,Marketing,Bachelors,41,167923,High
1218,53,32,Sales,PhD,18,158009,High
1219,30,8,Sales,Bachelors,49,84931,Low
1220,56,33,Marketing,Bachelors,29,160981,High
1221,40,18,Sales,Bachelors,99,117626,High
1222,37,14,Sales,Bachelors,94,101723,High
1223,24,0,HR,Bachelors,91,52928,Low
1224,41,19,Finance,Bachelors,86,119691,Medium
1225,45,24,Finance,Bachelors,89,141552,Medium
1226,54,33,HR,Masters,82,151396,High
1227,45,25,Marketing,Bachelors,72,136225,Medium
1228,32,9,IT,Masters,85,95756,Low
1229,29,7,IT,Masters,53,80233,Low
1230,57,37,IT,Bachelors,47,197215,Medium
1231,59,37,HR,Masters,92,159494,High
1232,41,18,HR,Bachelors,69,99904,Medium
1233,56,35,Sales,Masters,80,166395,High
1234,46,22,IT,Bachelors,57,133684,High
1235,56,35,Marketing,Masters,27,166986,High
1236,46,26,Marketing,Masters,25,139622,Low
1237,50,26,IT,Bachelors,64,159307,High
1238,39,19,IT,Bachelors,48,123820,Medium
1239,39,16,IT,Masters,77,122325,Medium
1240,23,0,HR,Masters,68,46725,Low
1241,56,36,HR,Bachelors,98,161462,High
1242,37,14,HR,Masters,71,92811,Medium
1243,57,36,Finance,Bachelors,22,182396,High
1244,54,31,Marketing,Masters,90,149053,Medium
1245,25,3,Marketing,Bachelors,15,56879,Low
1246,54,31,Sales,Masters,92,161111,High
1247,35,12,HR,Bachelors,86,83306,Medium
1248,42,20,Finance,Bachelors,69,131502,Low
1249,41,21,Finance,Bachelors,99,135582,High
1250,29,9,Marketing,Bachelors,23,86061,Medium
1251,28,5,HR,Bachelors,63,60421,Low
1252,24,2,Sales,Bachelors,13,62194,Low
1253,38,16,HR,Masters,48,102401,High
1254,54,33,IT,Bachelors,81,178410,High
1255,33,13,HR,Bachelors,34,93082,Medium
1256,43,19,IT,Bachelors,86,130497,High
1257,43,23,IT,Bachelors,41,144123,Medium
1258,51,31,Sales,Bachelors,68,153420,High
1259,59,38,Marketing,Bachelors,72,170355,High
1260,59,35,HR,Bachelors,47,152181,High
1261,29,8,IT,Bachelors,62,94369,Low
1262,48,24,HR,Bachelors,76,120096,Medium
1263,48,25,Marketing,Bachelors,37,132978,High
1264,55,31,Marketing,Bachelors,12,155171,Medium
1265,42,21,Finance,Bachelors,89,130964,High
1266,51,31,Marketing,PhD,31,151181,High
1267,54,30,Sales,Bachelors,47,154877,High
1268,49,25,IT,Masters,81,155552,Medium
1269,54,32,Finance,Bachelors,81,171827,High
1270,26,6,Sales,Masters,71,78552,Low
1271,40,17,HR,Masters,66,105846,Low
1272,25,4,IT,Bachelors,15,78547,Low
1273,56,33,Marketing,PhD,87,160802,High
1274,38,18,IT,Bachelors,41,124228,Low
1275,49,25,HR,Bachelors,19,126559,Low
1276,51,27,Finance,Masters,12,153663,Low
1277,50,30,Finance,Masters,68,158440,High
1278,27,3,Finance,Bachelors,85,68623,Medium
1279,56,32,Marketing,Bachelors,58,151330,High
1280,58,34,Sales,Bachelors,68,171238,High
1281,45,24,Sales,Bachelors,40,130188,High
1282,50,29,IT,Masters,78,169297,High
1283,52,30,Marketing,Bachelors,71,145796,Medium
1284,56,33,Finance,Bachelors,61,174954,High
1285,54,34,Finance,Bachelors,98,170112,High
1286,42,22,HR,Bachelors,50,113170,Medium
1287,53,33,HR,Bachelors,40,149506,High
1288,44,22,Finance,Masters,94,130404,High
1289,54,33,Finance,PhD,93,175053,High
1290,24,2,Marketing,Masters,31,62187,Low
1291,39,19,Sales,Bachelors,13,118266,Low
1292,46,23,HR,Masters,22,116670,Medium
1293,52,28,Sales,Masters,54,145601,High
1294,24,3,Marketing,Masters,51,57317,Low
1295,45,24,Finance,Bachelors,58,138158,High
1296,53,31,Sales,Bachelors,29,161804,Medium
1297,43,22,Finance,Bachelors,86,135312,High
1298,44,24,Finance,Bachelors,90,139248,High
1299,23,3,IT,Bachelors,63,75037,Low
1300,48,26,Sales,Bachelors,45,139997,Medium
1301,23,3,Sales,Bachelors,10,66020,Low
1302,47,24,Finance,Masters,24,145941,High
1303,38,16,Marketing,Bachelors,86,98233,Medium
1304,54,31,IT,Bachelors,26,175226,High
1305,30,6,Finance,PhD,33,78719,Medium
1306,50,27,HR,PhD,67,129567,High
1307,47,23,HR,Masters,81,117899,Medium
1308,56,32,IT,PhD,32,176972,Medium
1309,46,23,Marketing,Bachelors,55,127575,Medium
1310,45,23,Finance,PhD,81,132268,High
1311,34,14,Sales,Bachelors,17,102817,Low
1312,28,8,IT,Bachelors,68,85274,Medium
1313,57,33,Marketing,Bachelors,99,160681,High
1314,41,17,Sales,Bachelors,68,116411,Low
1315,22,0,HR,Bachelors,22,49321,Low
1316,29,8,HR,Masters,48,72496,Medium
1317,37,14,Sales,Masters,37,97694,Medium
1318,35,11,IT,Bachelors,98,101107,Medium
1319,33,13,HR,Bachelors,70,93643,High
1320,44,22,Finance,Masters,25,130309,Medium
1321,36,13,Sales,Masters,11,103076,Low
1322,49,27,Sales,Bachelors,91,139954,High
1323,55,32,HR,Masters,26,150837,High
1324,23,0,IT,Bachelors,39,60997,Low
1325,53,29,Finance,Bachelors,22,155248,Medium
1326,44,22,IT,PhD,91,137328,High
1327,43,21,Marketing,Bachelors,22,117658,Medium
1328,46,26,Marketing,Bachelors,52,129470,Medium
1329,43,23,HR,Masters,94,123915,High
1330,43,19,HR,Masters,30,103689,Low
1331,27,3,HR,Bachelors,64,63709,Low
1332,36,15,Marketing,Bachelors,90,98612,Medium
1333,58,38,IT,Bachelors,49,199296,High
1334,54,31,IT,Masters,92,175933,Medium
1335,29,7,HR,Bachelors,24,68936,Low
1336,26,2,Finance,Bachelors,82,63091,Medium
1337,25,3,IT,PhD,61,76370,Low
1338,27,5,Marketing,Bachelors,83,68931,Medium
1339,53,32,Sales,Bachelors,62,158687,High
1340,51,31,Sales,Bachelors,96,162091,High
1341,56,32,Sales,Masters,61,157100,High
1342,37,15,Finance,Bachelors,39,105043,Low
1343,34,10,HR,Bachelors,42,80560,Low
1344,51,28,Marketing,Masters,66,137787,Medium
1345,40,19,Finance,Bachelors,61,118540,High
1346,38,15,Marketing,Bachelors,18,98916,Medium
1347,40,16,Marketing,Bachelors,63,104244,Medium
1348,49,25,HR,Bachelors,10,127235,Medium
1349,47,27,Sales,Bachelors,53,139494,High
1350,58,36,HR,Bachelors,84,158089,High
1351,47,25,Finance,Bachelors,89,140335,Medium
1352,44,21,Finance,Bachelors,18,133991,Medium
1353,30,9,Finance,Masters,41,93259,Low
1354,33,11,HR,PhD,24,87733,Low
1355,22,2,Marketing,Masters,21,59756,Low
1356,22,0,Marketing,Masters,87,50035,Low
1357,55,32,IT,Bachelors,66,173208,High
1358,53,33,Finance,PhD,17,174657,Medium
1359,46,25,Marketing,Bachelors,81,127198,High
1360,22,2,IT,PhD,36,72049,Medium
1361,37,16,Marketing,PhD,71,106635,High
1362,26,6,Finance,Masters,21,75781,Low
1363,43,23,Sales,PhD,74,135609,High
1364,50,26,Finance,Bachelors,51,146097,Medium
1365,24,1,HR,Bachelors,71,50038,Low
1366,33,13,Marketing,Bachelors,20,92683,Low
1367,47,27,Marketing,Bachelors,52,137217,Medium
1368,37,15,HR,Bachelors,26,90494,Low
1369,58,35,HR,Masters,41,157116,High
1370,43,21,Sales,PhD,94,120762,High
1371,50,27,Marketing,Bachelors,94,135985,High
1372,35,13,Marketing,Masters,49,92175,Medium
1373,49,29,Sales,PhD,32,150992,Medium
1374,26,6,IT,PhD,65,86628,Low
1375,51,27,Sales,PhD,15,144570,High
1376,26,4,Finance,Bachelors,95,73233,Low
1377,33,12,Marketing,PhD,59,92287,High
1378,37,13,HR,Masters,46,93643,Medium
1379,47,25,Finance,Bachelors,73,149434,High
1380,47,25,Marketing,Bachelors,63,130890,High
1381,42,18,Sales,Masters,81,116690,Medium
1382,57,37,Finance,Bachelors,58,187299,Medium
1383,54,32,Marketing,Masters,20,156037,Medium
1384,51,31,IT,Masters,97,174802,High
1385,58,34,IT,Bachelors,58,183862,High
1386,44,24,HR,Bachelors,30,121534,Medium
1387,31,8,Marketing,Masters,75,78727,Low
1388,26,5,IT,Bachelors,72,82668,Medium
1389,57,35,Sales,Bachelors,92,166443,High
1390,55,34,Marketing,Bachelors,37,157460,High
1391,52,32,Sales,Bachelors,26,158331,Medium
1392,31,9,Sales,PhD,15,82716,Low
1393,40,20,IT,Bachelors,28,132355,Medium
1394,53,30,Marketing,Masters,65,149314,High
1395,22,0,Finance,Bachelors,37,58339,Low
1396,26,4,IT,Bachelors,75,68551,Low
1397,25,2,IT,Masters,47,67922,Low
1398,37,14,Marketing,Masters,46,92600,Medium
1399,45,23,Marketing,Bachelors,77,122470,High
1400,37,17,Sales,Bachelors,95,107102,High
1401,23,0,Marketing,Bachelors,99,56921,Low
1402,49,28,Sales,Bachelors,58,148998,High
1403,53,30,IT,Masters,52,170005,High
1404,48,28,HR,Bachelors,45,135683,High
1405,41,21,Finance,Bachelors,67,129419,Low
1406,45,24,IT,Bachelors,22,151051,Medium
1407,33,10,Marketing,PhD,61,81781,Low
1408,56,36,Finance,PhD,67,187052,High
1409,54,32,HR,Bachelors,41,145086,Medium
1410,54,30,HR,Masters,90,137261,Medium
1411,58,34,Sales,Bachelors,69,166298,High
1412,33,9,Finance,Bachelors,92,86067,Medium
1413,24,1,Sales,Masters,67,63754,Low
1414,22,1,IT,PhD,65,64848,Low
1415,54,34,Finance,PhD,37,173144,Medium
1416,31,9,IT,Bachelors,10,92109,Low
1417,50,28,Sales,Bachelors,51,142588,High
1418,34,11,Finance,Masters,91,95466,Medium
1419,33,9,Sales,Bachelors,57,80712,Low
1420,52,29,Finance,Bachelors,49,153158,High
1421,23,2,Sales,Bachelors,72,62378,Low
1422,56,35,HR,Masters,85,150490,High
1423,44,24,Sales,Bachelors,81,132801,High
1424,38,18,HR,Bachelors,97,104974,Medium
1425,47,26,Sales,PhD,89,139187,Medium
1426,29,8,Finance,Bachelors,13,83140,Low
1427,50,29,Finance,Bachelors,47,154031,Medium
1428,47,24,Finance,Bachelors,36,140316,Low
1429,31,10,Marketing,Bachelors,18,80726,Low
1430,47,25,IT,Bachelors,25,149889,Low
1431,55,31,Finance,Bachelors,65,162135,High
1432,28,7,HR,Masters,85,71585,Medium
1433,25,1,Finance,Bachelors,40,58832,Low
1434,32,9,Marketing,PhD,97,80356,Medium
1435,50,26,HR,Bachelors,23,123681,Medium
1436,57,34,Marketing,Bachelors,34,159866,High
1437,46,24,HR,Bachelors,43,118073,Low
1438,42,19,Sales,Bachelors,76,114825,Medium
1439,57,34,IT,Masters,33,179631,Medium
1440,31,11,IT,Bachelors,82,105074,Medium
1441,58,37,Marketing,Bachelors,35,168357,High
1442,30,9,IT,Masters,29,88987,Low
1443,45,23,Marketing,PhD,73,128064,Medium
1444,56,34,Marketing,Masters,19,157059,Medium
1445,56,35,Marketing,Bachelors,92,165119,High
1446,57,37,IT,Masters,76,189790,High
1447,39,18,Marketing,Bachelors,33,111060,Low
1448,53,33,IT,Bachelors,14,174752,High
1449,45,23,Marketing,Bachelors,76,128329,High
1450,44,20,Finance,Bachelors,67,128891,High
1451,53,31,Marketing,Bachelors,36,146984,Medium
1452,58,36,HR,Bachelors,89,162713,High
1453,33,10,Marketing,Masters,24,87662,Medium
1454,34,11,Sales,Bachelors,44,88199,Low
1455,44,21,Marketing,Bachelors,85,115810,High
1456,46,23,HR,Bachelors,62,121164,Medium
1457,56,36,HR,PhD,53,155597,High
1458,51,30,IT,Bachelors,35,163081,Medium
1459,38,14,Finance,Bachelors,56,107018,Low
1460,41,19,Marketing,Masters,43,116854,Medium
1461,46,26,IT,Masters,96,149612,High
1462,43,19,Finance,Bachelors,59,120613,Low
1463,34,14,Marketing,Masters,93,97253,Medium
1464,40,20,Sales,Masters,21,124357,Low
1465,57,35,Marketing,Masters,96,158946,High
1466,33,12,HR,Bachelors,13,82248,Low
1467,40,17,HR,Masters,96,101650,Medium
1468,33,12,Sales,Bachelors,57,95786,Medium
1469,30,8,IT,Bachelors,64,94147,Low
1470,28,6,Finance,Bachelors,10,80541,Low
1471,49,27,Marketing,Bachelors,98,139111,High
1472,35,11,HR,Bachelors,75,79058,Low
1473,52,31,IT,Masters,39,168057,Medium
1474,40,19,Sales,Bachelors,12,118926,Medium
1475,37,17,HR,Bachelors,30,100248,Low
1476,26,6,Sales,Bachelors,98,72023,Medium
1477,56,36,Marketing,Bachelors,93,165483,High
1478,33,11,Finance,PhD,58,93785,Low
1479,46,25,HR,Bachelors,95,129953,High
1480,42,20,HR,Bachelors,94,105220,Medium
1481,57,33,Marketing,Bachelors,71,156258,High
1482,44,24,IT,Bachelors,47,149030,Low
1483,37,15,Finance,Bachelors,24,108816,Medium
1484,35,13,HR,Masters,61,91349,Medium
1485,52,28,Finance,PhD,88,154810,High
1486,26,3,HR,Bachelors,55,63856,Low
1487,56,35,Finance,Masters,34,180790,Medium
1488,44,21,Sales,Masters,30,123833,Low
1489,50,30,HR,Masters,97,136871,High
1490,32,10,Finance,Bachelors,14,95352,Low
1491,39,15,IT,Bachelors,79,109754,Low
1492,33,9,Sales,Bachelors,56,85273,Low
1493,30,9,Sales,Masters,96,88589,Medium
1494,31,8,IT,Masters,77,92683,Medium
1495,38,17,Finance,Bachelors,27,119384,High
1496,59,37,Marketing,Bachelors,30,165971,High
1497,28,7,IT,PhD,95,86103,Medium
1498,34,10,Finance,Masters,32,94572,Low
1499,30,6,IT,PhD,73,84019,Medium
1500,48,28,IT,Masters,76,162229,High
1501,23,3,HR,Bachelors,49,55514,Low
1502,26,4,Finance,Bachelors,19,68537,Low
1503,50,27,Marketing,Masters,98,133351,High
1504,58,37,HR,Bachelors,61,157033,High
1505,59,37,IT,Bachelors,81,195478,High
1506,40,20,IT,Masters,84,136158,High
1507,29,8,IT,Bachelors,70,88861,Medium
1508,22,2,Finance,Masters,73,70116,Low
1509,43,22,Finance,Bachelors,14,132797,Medium
1510,38,15,HR,PhD,62,90478,Medium
1511,28,6,Marketing,Bachelors,64,66690,Low
1512,46,25,HR,Bachelors,46,121191,Medium
1513,25,1,Sales,Masters,65,59726,Low
1514,57,33,IT,Bachelors,68,184323,High
1515,27,6,IT,Masters,78,75925,Low
1516,52,31,IT,Masters,82,175600,High
1517,40,19,HR,Bachelors,68,109778,Medium
1518,48,24,HR,Bachelors,11,123008,Low
1519,31,7,IT,Bachelors,74,88784,Low
1520,47,26,HR,Bachelors,69,126332,High
1521,40,20,Finance,PhD,60,121655,Medium
1522,24,4,Finance,Masters,39,72705,Low
1523,34,11,HR,Masters,20,87873,Low
1524,49,27,IT,Masters,85,151946,High
1525,41,21,HR,Bachelors,48,111841,High
1526,49,25,HR,PhD,99,123676,High
1527,29,9,HR,Masters,86,74572,Low
1528,22,0,Sales,Masters,81,57106,Low
1529,24,1,Finance,Masters,72,60987,Low
1530,34,12,Marketing,Bachelors,73,93227,Medium
1531,49,29,Marketing,Masters,70,144074,High
1532,46,22,Sales,Bachelors,63,127283,Medium
1533,54,30,HR,Bachelors,82,135066,High
1534,59,38,Sales,Bachelors,67,183186,High
1535,27,3,Sales,PhD,94,64477,Medium
1536,53,31,IT,Masters,65,166968,High
1537,42,20,Finance,Masters,43,127339,High
1538,37,13,Marketing,Masters,40,96038,Medium
1539,42,18,HR,Bachelors,61,108379,High
1540,32,11,Marketing,PhD,98,86594,High
1541,58,34,Marketing,Bachelors,85,157855,High
1542,57,36,Finance,Bachelors,10,176580,High
1543,56,35,Marketing,Bachelors,64,165558,High
1544,40,16,Marketing,Masters,31,106327,Low
1545,41,18,Sales,Masters,49,109117,Low
1546,39,16,Finance,Bachelors,10,118418,Low
1547,35,14,IT,Bachelors,74,105085,Low
1548,36,12,HR,Masters,72,81790,Medium
1549,52,29,Marketing,Bachelors,63,148921,Medium
1550,22,0,HR,Masters,51,46174,Low
1551,24,0,IT,PhD,30,54213,Low
1552,37,13,HR,Bachelors,88,86244,Medium
1553,44,24,IT,Bachelors,90,145303,High
1554,32,8,Sales,Masters,31,76707,Low
1555,33,13,Marketing,Masters,47,94743,Medium
1556,31,10,IT,Bachelors,89,90957,Medium
1557,53,30,HR,PhD,17,142601,Medium
1558,37,14,Marketing,Bachelors,71,100777,Medium
1559,29,6,Sales,Bachelors,56,72374,Low
1560,59,36,Marketing,Masters,26,165467,High
1561,33,10,IT,Masters,26,98756,Low
1562,45,22,Sales,Bachelors,99,125492,High
1563,49,26,HR,Masters,22,123731,Medium
1564,29,8,Sales,Bachelors,26,77141,Low
1565,49,25,Sales,Bachelors,47,133765,Medium
1566,57,35,Finance,Bachelors,90,175872,High
1567,47,27,Sales,Masters,87,148947,Medium
1568,29,7,Sales,Bachelors,54,81967,Medium
1569,49,27,Marketing,Bachelors,15,137627,High
1570,49,25,HR,Bachelors,44,127099,High
1571,58,34,Marketing,Masters,23,155914,High
1572,57,33,Marketing,Masters,81,152137,High
1573,48,25,IT,Masters,70,145668,High
1574,38,17,Marketing,Bachelors,24,104358,Medium
1575,30,7,Finance,Masters,63,80774,Low
1576,54,33,Finance,Bachelors,36,170750,High
1577,41,20,IT,Masters,22,128715,Medium
1578,34,12,HR,PhD,40,84432,Low
1579,49,27,HR,Bachelors,44,128371,Medium
1580,50,29,Marketing,Masters,69,143127,High
